10%_retina,50%_retina,10%_vitreous,50%_vitreous,10%_aqueous,50%_aqueous,dose,k_d_value,k_off_value,r_c=5.1_multiplier,del_r=1.25_multiplier,dds_geometry,total_r1,total_r2,total_delr,fraction_pcl,dataset,iteration
36.8018400920046,104.905245262263,92.6046302315116,1226.1613080654,83.3041652082604,1162.85814290715,2,19000,0.864,10,0,Chitosan,0,0.0051,0,0,Chitosan_single,0
38.8015520620825,424.216968678747,390.515620624825,1245.04980199208,352.014080563223,1220.64882595304,2,19000,0.864,2.36012963732581,3.13084976695989,Chitosan_PCL,0.00120366611503616,0.00159502233590615,0.000391356220869986,0.245360965837292,BO_suggestion,1
39.0015600624025,424.416976679067,390.815632625305,1237.7495099804,352.614104564183,1214.04856194248,2,19000,0.864,2.34819206934779,3.14783635823269,Chitosan_PCL,0.00119757795536737,0.00159105750014646,0.000393479544779086,0.247306929349106,BO_suggestion,2
39.1015640625625,424.616984679387,391.115644625785,1232.34929397176,352.814112564503,1208.94835793432,2,19000,0.864,2.33841603427951,3.12634448164106,Chitosan_PCL,0.00119259217748255,0.00158338523768768,0.000390793060205132,0.246808578799075,BO_suggestion,3
39.2015680627225,424.616984679387,391.215648625945,1227.2490899636,352.914116564663,1203.84815392616,2,19000,0.864,2.32963096485854,3.09015130176943,Chitosan_PCL,0.00118811179207786,0.00157438070479904,0.000386268912721179,0.245346574398271,BO_suggestion,4
39.3015720628825,424.816992679707,391.515660626425,1221.248849954,353.614144565783,1198.2479299172,2,19000,0.864,2.31998797821157,3.03766526804898,Chitosan_PCL,0.0011831938688879,0.00156290202739402,0.000379708158506123,0.242950710825583,BO_suggestion,5
39.5015800632025,424.716988679547,391.515660626425,1214.2485699428,353.914156566263,1191.84767390696,2,19000,0.864,2.30806100967051,2.95888649897527,Chitosan_PCL,0.00117711111493196,0.00154697192730387,0.000369860812371908,0.239086958104352,BO_suggestion,6
38.5015400616025,423.916956678267,389.815592623705,1262.55050202008,351.114044561782,1237.64950598024,2,19000,0.864,2.39137696113957,3.85754880537476,Chitosan_PCL,0.00121960225018118,0.00170179585085302,0.000482193600671845,0.283343974795887,BO_suggestion,7
40.0016000640026,424.716988679547,392.015680627225,1190.7476299052,355.014200568023,1169.24676987079,2,19000,0.864,2.26792833781363,2.66145682734046,Chitosan_PCL,0.00115664345228495,0.00148932555570251,0.000332682103417557,0.22337769075656,BO_suggestion,8
40.0016000640026,424.916996679867,392.215688627545,1191.247649906,355.014200568023,1169.14676587063,2,19000,0.864,2.26727085090558,2.67027729015664,Chitosan_PCL,0.00115630813396185,0.00149009279523143,0.00033378466126958,0.224002600601622,BO_suggestion,9
38.4015360614425,424.016960678427,389.615584623385,1271.55086203448,350.614024560982,1246.84987399496,2,19000,0.864,2.40713352943618,4.14486270331817,Chitosan_PCL,0.00122763810001245,0.00174574593792722,0.000518107837914771,0.296783069436745,BO_suggestion,10
