10% Retina,50% Retina,10% Vitreous,50% Vitreous,10% Aqueous,50% Aqueous,Dose,K_D Value,K_off Value,R_C=5.1 Multiplier,del_R=1.25 Multiplier,DDS_Geometry,Total R1,Total R2,Total delR,Fraction PCL,Dataset
0.900045002250113,16.400820041002,15.700785039252,31.5015750787539,14.9007450372519,31.1015550777539,0.05,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.8000400020001,18.3009150457523,17.5008750437522,33.4016700835042,16.7008350417521,33.0016500825041,0.06,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.8000400020001,20.0010000500025,19.1009550477524,35.0017500875044,18.2009100455023,34.6017300865043,0.07,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.8000400020001,21.4010700535027,20.4010200510026,36.3018150907545,19.5009750487524,35.9017950897545,0.08,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.700035001750087,22.7011350567528,21.6010800540027,37.6018800940047,20.7010350517526,37.1018550927546,0.09,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.700035001750087,23.801190059503,22.7011350567528,38.6019300965048,21.8010900545027,38.2019100955048,0.1,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.700035001750087,24.8012400620031,23.701185059253,39.6019800990049,22.7011350567528,39.2019600980049,0.11,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.700035001750087,25.8012900645032,24.5012250612531,40.5020251012551,23.6011800590029,40.102005100255,0.12,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.700035001750087,26.6013300665033,25.4012700635032,41.4020701035052,24.5012250612531,40.9020451022551,0.13,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.600030001500075,27.4013700685034,26.1013050652533,42.1021051052553,25.2012600630032,41.7020851042552,0.14,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
0.600030001500075,28.2014100705035,26.9013450672534,42.9021451072554,25.9012950647532,42.4021201060053,0.15,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
6.80034001700085,28.8014400720036,27.5013750687534,43.5021751087554,26.6013300665033,43.1021551077554,0.16,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
7.40037001850092,29.5014750737537,28.1014050702535,44.2022101105055,27.2013600680034,43.7021851092555,0.17,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
8.000400020001,30.1015050752538,28.7014350717536,44.8022401120056,27.8013900695035,44.3022151107555,0.18,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
8.60043002150108,30.7015350767538,29.3014650732537,45.3022651132557,28.4014200710035,44.9022451122556,0.19,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
9.20046002300115,31.2015600780039,29.8014900745037,45.9022951147557,28.9014450722536,45.5022751137557,0.2,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
9.70048502425121,31.801590079504,30.3015150757538,46.4023201160058,29.4014700735037,46.0023001150058,0.21,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
10.2005100255013,32.301615080754,30.8015400770038,46.9023451172559,29.9014950747537,46.4023201160058,0.22,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
10.7005350267513,32.8016400820041,31.3015650782539,47.4023701185059,30.3015150757538,46.9023451172559,0.23,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
11.1005550277514,33.2016600830041,31.701585079254,47.802390119506,30.8015400770038,47.4023701185059,0.24,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
11.6005800290015,33.6016800840042,32.201610080504,48.202410120506,31.2015600780039,47.802390119506,0.25,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
12.0006000300015,34.1017050852543,32.6016300815041,48.6024301215061,31.6015800790039,48.202410120506,0.26,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
12.4006200310015,34.5017250862543,33.0016500825041,49.0024501225061,32.001600080004,48.6024301215061,0.27,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
12.8006400320016,34.9017450872544,33.4016700835042,49.4024701235062,32.401620081004,49.0024501225061,0.28,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
13.2006600330017,35.2017600880044,33.7016850842542,49.8024901245062,32.8016400820041,49.4024701235062,0.29,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
13.6006800340017,35.6017800890044,34.1017050852543,50.2025101255063,33.1016550827541,49.7024851242562,0.3,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
13.9006950347517,36.0018000900045,34.4017200860043,50.5025251262563,33.5016750837542,50.1025051252563,0.31,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
14.3007150357518,36.3018150907545,34.8017400870043,50.8025401270064,33.8016900845042,50.4025201260063,0.32,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
14.6007300365018,36.6018300915046,35.1017550877544,51.2025601280064,34.1017050852543,50.7025351267563,0.33,19000,0.864,0,0,NaN,NaN,NaN,0,NaN,Without_DDS_dose
